,Artist,Song,Emotion
642,Electronic,Getting Away With It,happy
643,Elefante,El Abandonao,sad
644,Elf Power,Let The Serpent Sleep,relaxed
645,Eliane Elias,Movin' Me On,relaxed
646,Eliza Gilkyson,Looking For A Place,sad
647,Ella Fitzgerald,Rocks In My Bed,relaxed
648,Ella Fitzgerald,Solitude ,sad
649,Ella Fitzgerald,Take Love Easy ,relaxed
650,Ellie Goulding,Your Biggest Mistake,sad
651,Elliott Smith,Let's Get Lost,angry
652,Elliott Smith,Needle In The Hay,sad
653,Elmore James,The Sky Is Crying,relaxed
654,Elton John,Blue Eyes,relaxed
655,Elton John,Sad Songs ,sad
656,Elton John,Sorry Seems To Be The Hardest Word,sad
657,Elvis Costello,I Lost You,angry
658,Elvis Costello,One Bell Ringing,sad
659,Elvis Presley,Blue Christmas,relaxed
660,Elvis Presley,Blue Christmas ,relaxed
661,Elvis Presley,For The Heart,happy
662,Elvis Presley,Heartbreak Hotel,sad
663,Elvis Presley,Jailhouse Rock,sad
664,Elvis Presley,Love Me Tender,happy
665,"Emerson, Lake & Palmer",From The Beginning,sad
666,Emilio Navaira,No Es El Fin Del Mundo ,sad
667,Emmylou Harris,Home Sweet Home,relaxed
668,Emmylou Harris,Queen Of The Silver Dollar,relaxed
669,Enanitos Verdes,Mejor No Hablemos De Amor,sad
670,England Dan & John Ford Coley,It's Sad To Belong,sad
671,Ensiferum,Into Battle,angry
672,Enya,Amarantine,happy
673,Enya,Caribbean Blue,relaxed
674,Erasure,Love To Hate You,angry
675,Eric Benet,Hurricane,angry
676,Eric Church,Love Your Love The Most,happy
677,Eric Clapton,Bad Love,happy
678,Eric Clapton,Cocaine,angry
679,Eric Clapton,Let It Grow,relaxed
680,Eric Lindell,Lullaby For Mercy Ann,happy
681,Escape The Fate,Issues,sad
682,Eskmo,Color Dropping,relaxed
683,Eskmo,Starships,happy
684,Eva Cassidy,Time After Time,sad
685,Evanescence,My Immortal,angry
686,Evans Blue,Cold ,sad
687,Evergreen Terrace,Look Up At The Stars And You're Gone,angry
688,Evile,Armoured Assault,angry
689,Exene Cervenka,Beyond You,happy
690,Exodus,Bonded By Blood,sad
691,Exodus,The Toxic Waltz,angry
692,Expatriate,Gotta Get Home,relaxed
693,Faith Evans,Love Like This,happy
694,Faith Hill,Joy To The World,happy
695,Faith Hill,Take Me As I Am,relaxed
696,Faith Hill,The Way You Love Me,happy
697,Faith Hill,This Kiss,happy
698,Faith Hill,Where Are You Christmas?,happy
699,Faith No More,War Pigs,angry
700,Falco,Rock Me Amadeus,angry
701,Fang Island,The Illinois,relaxed
702,Faron Young,Hello Walls,sad
703,Fastball,Out Of My Head,sad
704,Fatboy Slim,Everybody Needs A 303,happy
705,Fats Domino,All By Myself,happy
706,Fats Domino,I'm In Love Again,happy
707,Fear Factory,Fear Campaign,angry
708,Fear Factory,Replica,angry
709,Fear Factory,Self Bias Resistor,angry
710,Fee,Glory To God Forever,happy
711,Feist,The Limit To Your Love,happy
712,Fenech-Soler,Contender,angry
713,Fenix TX,All My Fault,sad
714,Ferry Corsten,Fire,angry
715,Fidel Rueda,Me Encantaria,sad
716,Fiji,Anything You Want,relaxed
717,Film School,Sunny Day,happy
718,Film School,Two Kinds,happy
719,Fine Young Cannibals,Ever Fallen In Love,happy
720,Finger Eleven,Stay In Shadow,sad
721,Firehouse,Love Of A Lifetime,happy
722,Fischerspooner,Happy,sad
723,Fistful Of Mercy,Father's Son,sad
724,Five Finger Death Punch,Burn It Down,angry
725,Fleet Foxes,Sun It Rises,relaxed
726,Fleetwood Mac,Go Your Own Way,sad
727,Fleetwood Mac,Showbiz Blues,relaxed
728,Fleetwood Mac,Songbird,happy
729,Florence & The Machine,You've Got The Love,happy
730,Flyleaf,I'm So Sick,sad
731,Foals,Red Socks Pugie,angry
732,Foghat,Dead End Street,sad
733,Fontella Bass,Rescue Me,happy
734,Foo Fighters,If Ever,happy
735,Forbidden,Forsaken at the Gates,sad
736,Foster The People,Warrant,angry
737,Foxy Shazam,Unstoppable,sad
738,Framing Hanley,You Stupid Girl,sad
739,Frank Reyes,Por Ti Voy A Morir,sad
740,Frank Sinatra,Have Yourself A Merry Little Christmas,happy
741,Frank Sinatra,It Gets Lonely Early,sad
742,Frank Sinatra,My Kind Of Girl,relaxed
743,Frank Sinatra,My Kind Of Town,relaxed
744,Frank Sinatra,Nice 'N' Easy,relaxed
745,Frank Sinatra,Nice Work If You Can Get It,relaxed
746,Frank Sinatra,Silent Night,relaxed
747,Frankie Ballard,Tell Me You Get Lonely,sad
748,Frankie Goes To Hollywood,Two Tribes,angry
749,Frankie Ruiz,La Rueda,sad
750,Frankie Ruiz,Lo Dudo,sad
751,Franz Ferdinand,Do You Want To,happy
752,Fred Hammond,Keep On Praisin',relaxed
753,Fred Hammond & Radical For Christ,I Will Bless His Holy Name,relaxed
754,Freda Payne,Deeper & Deeper,happy
755,Freddie Hubbard,Red Clay,happy
756,Frederick Knight,I've Been Lonely For So Long,sad
757,Freelance Whales,Starring,angry
758,Frightened Rabbit,Fast Blood,angry
759,Fruit Bats,Legs Of Bees,sad
760,Fun Lovin' Criminals,We Have All The Time In The World,happy
761,Fun Lovin' Criminals,We Have All The Time In The World (Live),happy
762,Funeral For A Friend,All The Rage (Clean Album Version),sad
763,G. Love & Special Sauce,"Peace, Love & Happiness",relaxed
764,GQ,I Do Love You,happy
765,GWAR,Slap U Around,angry
766,Gang Of Four,Natural's Not In It,happy
767,Garbage,Stupid Girl,sad
768,Garth Brooks,Silent Night,relaxed
769,Garth Brooks,Standing Outside The Fire,angry
770,Gary Puckett & The Union Gap,This Girl Is A Woman Now,relaxed
771,Gary Wright,Love Is Alive,happy
772,Gene Pitney,Only Love Can Break A Heart,happy
773,Gene Vincent,Be-Bop-A-Lula,relaxed
774,Gene Vincent & His Blue Caps,Be-Bop-A-Lula,relaxed
775,Gene Watson,Got No Reason Now For Goin' Home,relaxed
776,Geoff Bullock,The Power Of Your Love,happy
777,George Benson,Don't Let Me Be Lonely Tonight,sad
778,George Duke,Listen Baby,relaxed
779,George Harrison,I Dig Love,happy
780,George Harrison,Isn't It A Pity,sad
781,George Harrison,What Is Life,happy
782,George Harrison,You,happy
783,George Jones,I Don't Love You Anymore,happy
784,George Jones,Together Alone,sad
785,George McCrae,Rock Your Baby,relaxed
786,George Michael,I Want Your Sex,happy
787,George Strait,Baby Blue,relaxed
788,George Strait,El Rey,sad
789,George Strait,Let's Fall To Pieces Together,sad
790,George Strait,VERO,relaxed
791,George Strait,What Do You Say To That,happy
792,Gerald Levert,Baby Hold On To Me,relaxed
793,Gibson  Debbie,Shake Your Love,happy
794,Gino Vannelli,Living Inside Myself,angry
795,Ginuwine,Trouble ,angry
796,Girl In A Coma,Blue Christmas,relaxed
797,Glasser,Home,relaxed
798,Glen Campbell,Dream Baby ,relaxed
799,Gliss,Morning Light,happy
800,Gloria Estefan,This Christmas,happy
801,Gloria Lynne,I'm Glad There Is You,happy
802,Gloria Trevi,Me Rio De Ti,sad
803,Gloriana,Silent Night,relaxed
804,Go West,What You Won't Do For Love,happy
805,God Forbid,War Of Attrition,angry
806,Godsmack,Running Blind ,sad
807,Gold Motel,The Cruel One,sad
808,Goldfrapp,Little Bird,relaxed
809,Gorillaz,Bill Murray,angry
810,Gorillaz,Broken,angry
811,Gorillaz,Some Kind Of Nature ,relaxed
812,Gotan Project,Amor Porteno ,sad
813,Gotan Project,Peligro,sad
814,Graham Parker,White Honey,relaxed
815,Grand Funk Railroad,Bad Time,happy
816,Grant-Lee Phillips,It Ain't The Same Old Cold War Harry,angry
817,Grass Widow,Shadow,sad
818,Gravenhurst,The Velvet Cell,angry
819,Green Day,Longview,sad
820,Green Day,Sassafrass Roots,sad
821,Greg Laswell,Off I Go,sad
822,Greg Laswell,Take Everything ,relaxed
823,Gregg Allman,I Believe I'll Go Back Home,relaxed
824,Gregg Allman,My Love is Your Love,happy
825,Gregory Isaacs,Private Beach Party,happy
826,Gregory Isaacs,Slavemaster,angry
827,Gregory Porter,Lonely One,sad
828,Gretchen Parlato,Blue In Green,relaxed
829,Grizzly Bear,Knife,angry
830,Grizzly Bear,Lullabye,relaxed
831,Grupo Bryndis,Asi Es El Amor,sad
832,Grupo Bryndis,Por Estar Pensando En Ti,sad
833,Grupo Niche,Gotas De Lluvia,sad
834,Gucci Mane,I Don't Love Her ,happy
835,Guns N' Roses,Civil War,angry
836,Guns N' Roses,Paradise City,relaxed
837,Guns N' Roses,Paradise City ,relaxed
838,Gwar,A Gathering Of Ghouls,angry
839,Gwen Mccrae,Rockin' Chair,relaxed
840,Gyptian,Beautiful Lady,relaxed
841,Gyptian,So Much In Love,happy
842,Haddaway,What Is Love,angry
843,Hail The Villain,Take Back The Fear,angry
844,"Hamilton, Joe Frank & Reynolds",Fallin' In Love,happy
845,Hank Locklin,Send Me The Pillow You Dream On,relaxed
846,Hank Snow,Hello Love,happy
847,Hank Williams,Your Cheatin' Heart,relaxed
848,Hannah Montana,Gonna Get This ,relaxed
849,Happy Mondays,Grandbag's Funeral,relaxed
850,Harlem,Spray Paint,relaxed
851,Harold Melvin & The Blue Notes,Don't Leave Me This Way,happy
852,"Harry Connick, Jr.",Blue Christmas,relaxed
853,"Harry Connick, Jr.",Just Kiss Me,happy
854,"Harry Connick, Jr.",My Blue Heaven,relaxed
855,"Harry Connick, Jr.",Silent Night,relaxed
856,"Harry Connick, Jr.",The Happy Elf,happy
857,"Harry Connick, Jr.",This Christmas,happy
858,Harry Connick_ Jr.,Once,happy
859,Harry Nilsson,Jump Into The Fire,happy
860,Hatebreed,Destroy Everything,angry
861,Hatebreed,Destroy Everything (Album Version),angry
862,Hatebreed,Ghosts Of War,angry
863,Heart,How Can I Refuse,angry
864,Herb Alpert & The Tijuana Brass,A Taste Of Honey,relaxed
865,Herman's Hermits,Listen People,happy
866,Hey Champ,Cold Dust Girl,sad
867,Hey Monday,How You Love Me Now,relaxed
868,Hezekiah Walker & The Love Fellowship Crusade Choir,Grateful ,relaxed
869,Hezekiah Walker & The Love Fellowship Crusade Choir,Power Belongs To God,happy
870,High On Fire,Bastard Samurai,angry
871,High On Fire,Holy Flames Of The Fire Spitter,angry
872,Hillsong,Adonai,happy
873,Home Video,The Smoke,angry
874,Honeymoon Suite,New Girl Now,relaxed
875,Hooverphonic,2wicky,angry
876,Hot Chip,We Have Love,happy
877,Hot Hot Heat,Bandages,sad
878,Hot Snakes,Braintrust,relaxed
879,Hot Tuna,Candy Man,relaxed
880,Hot Tuna,Death Don't Have No Mercy,sad
881,Howard Jones,What Is Love?,happy
882,Howlin' Wolf,Built For Comfort,relaxed
883,Howlin' Wolf,Shake For Me,relaxed
884,Huey,When I Hustle ,relaxed
885,Huey Lewis And The News,Respect Yourself,relaxed
886,Ian Dury & The Blockheads,Hit Me With Your Rhythm Stick,angry
887,Ian Van Dahl,Will I,happy
888,Ice Cube,Dirty Mack,sad
889,Iggy & The Stooges,Gimme Danger,angry
890,Iggy Pop,Lust For Life,happy
891,Iggy Pop,Lust for life (recorded during the us tour in 1986),happy
892,Ike & Tina Turner,I've Been Loving You Too Long,happy
893,Immature,Never Lie,angry
894,In This Moment,Beautiful Tragedy,angry
895,Incognito,Feel The Pressure,angry
896,Incognito,Your Sun My Sky ,relaxed
897,Incubus,Love Hurts,happy
898,Infernal,From Paris To Berlin,happy
899,Information Society,Make It Funky (Album Version),happy
900,Ingrid Michaelson,Everybody,happy
901,Inna,Amazing,angry
902,Inner City,Good Life,happy
903,Innerpartysystem,American Trash,sad
904,Inoj,Time After Time,sad
905,Inspiral Carpets,Party In The Sky,sad
906,Interpol,Barricade,sad
907,Interpol,Safe Without,relaxed
908,Intocable,Contra Viento Y Marea,sad
909,Irma Thomas,Hold Me While I Cry,relaxed
910,Irma Thomas,Same Old Blues,sad
911,Iron Fire,Still Alive,angry
912,Iron Maiden,Be Quick Or Be Dead,angry
913,Iron Maiden,Fear Of The Dark,angry
914,Iron Maiden,Iron Maiden,sad
915,Iron Maiden,Phantom Of The Opera,sad
916,Iron Maiden,The Evil That Men Do,angry
917,Isley Brothers,Fight the Power  Pt. 1,angry
918,Isobel Campbell & Mark Lanegan,Honey Child What Can I Do?,sad
919,Israel & New Breed,Friend Of God,happy
920,Israel & New Breed,Have Yourself A Merry Little Christmas,happy
921,Israel Houghton,I Receive,happy
922,Israel Houghton,Others,happy
923,Israel Houghton,Our God,happy
924,Ivory Joe Hunter,Since I Met You Baby,happy
925,J Boog,Let's Do It Again ,relaxed
926,J Dilla,Two Can Win,happy
927,J Dilla,U-Love,happy
928,J. Holiday,Bed,relaxed
929,J. Moss,Abundantly,relaxed
930,J. Valentine,She Worth The Trouble,angry
931,J.D. Souther,You're Only Lonely,sad
932,JJ Grey & Mofro,Lullaby,relaxed
933,JJ Grey & Mofro,On Fire,angry
934,Jaci Velasquez,Feliz Navidad,happy
935,Jack Ingram,Love You,happy
936,Jack Ingram,Mustang Burn,angry
937,Jack Johnson,From The Clouds,relaxed
938,Jack Johnson,Wasting Time,sad
939,Jack Jones,Love Boat Theme,happy
940,Jack White,Wayfaring Stranger,relaxed
941,Jackie DeShannon,Put A Little Love In Your Heart,happy
942,Jackie Evancho,Silent Night,relaxed
943,Jackie Wilson,To Be Loved,happy
944,Jadon Lavik,Hear Our Song,happy
945,Jah Cure,Love Is,happy
946,Jah Cure,Troddin The Valley,angry
947,Jaill,The Stroller,angry
948,Jakob Dylan,Gimme Some Truth ,relaxed
949,James  Elmore,Sky Is Crying,relaxed
950,James Blake,I Mind,relaxed
951,James Blake,Lindisfarne I,sad
952,James Brown,Christmas In Heaven,happy
953,James Brown,I'll Go Crazy,happy
954,James Brown,Soulful Christmas,happy
955,James Hunter,No Smoke Without Fire,angry
956,James Ingram,Everything Must Change,relaxed
957,James Ingram,I Don't Have The Heart,happy
958,James Taylor,Don't Let Me Be Lonely Tonight,sad
959,James Taylor,Have Yourself A Merry Little Christmas,happy
960,Jane Monheit,Have Yourself A Merry Little Christmas,happy
961,Jane Monheit,I'm Glad There Is You,happy
962,Jane Monheit,Save Your Love For Me,happy
963,Janelle Monae,Cold War,angry
964,Janet Jackson,Because Of Love,happy
965,Janet Jackson,Nasty,sad
966,Janie Frickie,It Ain't Easy Bein' Easy,relaxed
967,Janiva Magness,I'm Feelin' Good,relaxed
968,Jarabe De Palo,El Lado Oscuro,sad
969,Jars Of Clay,Love Came Down at Christmas,happy
970,Jars Of Clay,Love Me,happy
971,Jars Of Clay,They'll Know We Are Christians By Our Love,happy
972,Jason Collett,I'll Bring The Sun,relaxed
973,Jason Mraz,Lucky ,happy
974,Javier Solis,Lloraremos Los Dos,sad
975,Jay Reatard,DOA,happy
976,Jazmine Sullivan,After The Hurricane,angry
977,Jazmine Sullivan,Fear,angry
978,Jeff Buckley,Grace,angry
979,Jeff Lorber,Reflections,relaxed
980,Jeff Scott Soto,2 Late 4 Goodbyes,sad
981,Jefferson Airplane,Somebody To Love,happy
982,Jeffrey Osborne,Don't You Get So Mad,angry
983,Jemina Pearl,I Hate People ,angry
984,Jenny And Johnny,While Men Are Dreaming,relaxed
985,Jenny Lewis,Pretty Bird,relaxed
986,Jens Lekman,I'm Leaving You Because I Don't Love You,happy
987,Jeremias,Hay Un Amor Afuera,sad
988,Jeremy Camp,Beautiful One,happy
989,Jeremy Camp,Take You Back,angry
990,Jeremy Camp,You Never Let Go,angry
991,Jeremy Riddle,Bless His Name,relaxed
992,Jermaine Jackson,Daddy's Home,relaxed
993,Jerry Lee Lewis,"Another Place, Another Time",sad
994,Jeru The Damaja,D. Original,sad
995,Jerzee Monet,Most High,relaxed
996,Jet,Black Hearts ,angry
997,Jethro Tull,Locomotive Breath,sad
998,Jill Scott,Bedda At Home,relaxed
999,Jill Scott,Hate On Me,angry
1000,Jill Scott,It's Love,happy
1001,Jill Scott,So In Love ,happy
1002,Jim Brickman,Sending You A Little Christmas,relaxed
1003,Jimi Hendrix,Who Knows,relaxed
1004,Jimi Hendrix Experience,Fire,angry
1005,Jimmy Eat World,Pain,angry
1006,Jimmy Ruffin,I've Passed This Way Before,angry
1007,Jimmy Smith,I Just Wanna Make Love To You ,happy
1008,Jimmy Smith,Strut ,relaxed
1009,Jimmy Sommers,If I Knew ,angry
1010,Jo Dee Messina,Because You Love Me,happy
1011,Jo Dee Messina,Bring On The Rain,sad
1012,Jo Dee Messina,Burn,angry
1013,Jo Dee Messina,Silent Night,relaxed
1014,Joan Armatrading,A Woman In Love,happy
1015,Joan Armatrading,Love And Affection,happy
1016,Joan Armatrading,This Charming Life,happy
1017,Joan Jett & The Blackhearts,I Hate Myself For Loving You,angry
1018,Joan Osborne,War,angry
1019,Joan Sebastian,Amor Limosnero,sad
1020,Joan Sebastian,El Perdedor,sad
1021,Joan Sebastian,Oyeme Chatita,sad
1022,Joan Sebastian,Rumores ,sad
1023,Joan Sebastian,Sentimental,sad
1024,Jody Watley,Looking For A New Love,happy
1025,Jody Watley,Real Love,happy
1026,Joe Cocker,You Are So Beautiful,happy
1027,Joe Jackson,Lullaby,sad
1028,Joe Jackson,The Uptown Train,sad
1029,John Anderson,Wild And Blue,relaxed
1030,John Berry,Ninety Miles An Hour,sad
1031,John Brown,Imma Love You Right,happy
1032,John Coltrane,Acknowledgement,happy
1033,John Cougar Mellencamp,Authority Song,angry
1034,John Denver & The Muppets,We Wish You A Merry Christmas,happy
1035,John Gold,Baby It's Your Life,happy
1036,John Hiatt,What Kind Of Man,relaxed
1037,John Lennon,Happy Xmas ,happy
1038,John Lennon,Happy Xmas (War Is Over),happy
1039,John Lennon,Love,happy
1040,John Lennon & The Plastic Ono Band,Power To The People,happy
1041,John Mayer,Perfectly Lonely,sad
1042,John Mayer,Slow Dancing In A Burning Room,sad
1043,John Mellencamp,Lonely Ol' Night,sad
1044,John Pizzarelli,Happy Talk,relaxed
1045,John Pizzarelli,Mountain Greenery,relaxed
1046,John Pizzarelli,This Can't Be Love,happy
1047,John Prine,Glory Of True Love,happy
1048,John Scofield,Motherless Child,relaxed
1049,John Stewart,Price Of The Fire,angry
1050,John Williams,"Merry Christmas, Merry Christmas",happy
1051,Johnny Cash,Blue Christmas,relaxed
1052,Johnny Cash,Ring Of Fire,angry
1053,Johnny Cash,Rusty Cage,sad
1054,Johnny Cash,The Gifts They Gave,relaxed
1055,Johnny Cash,Were You There (When They Crucified My Lord),sad
1056,Johnny Gill,Give Love On Christmas Day,happy
1057,Johnny Gill,In The Mood,relaxed
1058,Johnny Hartman,The Very Thought Of You,relaxed
1059,Johnny Mathis,Heavenly Peace,relaxed
1060,Johnny Nash,I Can See Clearly Now,relaxed
1061,Johnny O.,Fantasy Girl,relaxed
1062,Johnny Preston,Running Bear,relaxed
1063,Jon B.,Someone To Love ,happy
1064,Jon Secada,Feliz Navidad,happy
1065,Jonatha Brooke,Little Bird,relaxed
1066,Jonathan Butler,Color Green,relaxed
1067,Jonathan Butler,So Strong,happy
1068,Jonathan Nelson,How Great Is Our God ,happy
1069,Jonathan Nelson,My Name Is Victory ,happy
1070,Jonathan Richman,I Was The One She Came For,angry
1071,Joni Mitchell,Sometimes I'm Happy,happy
1072,Jonny Lang,Lie To Me,angry
1073,Jordin Sparks,Battlefield,angry
1074,Jose Alfredo Jimenez,El Rey,sad
1075,Jose Feliciano,Feliz Navidad,happy
1076,Jose Feliciano,La Copa Rota,sad
1077,Jose Feliciano,Light My Fire,angry
1078,Jose Jose,Lo Dudo,sad
1079,Jose Jose,O Tu O Yo,sad
1080,Jose Jose,Tu Me Estas Volviendo Loco,sad
1081,Jose Luis Perales,El Amor,sad
1082,Josh Groban,Silent Night,relaxed
1083,Josh Turner,Your Man,relaxed
1084,Josh Wilson,Before The Morning,angry
1085,Joss Stone,Bruised But Not Broken,angry
1086,Joy Division,Heart And Soul,angry
1087,Joyce Sims,All And All,relaxed
1088,Juan Gabriel,Abrazame Muy Fuerte,sad
1089,Juan Gabriel,Pero Que Necesidad,sad
1090,Juan Luis Guerra,El Costo De La Vida,sad
1091,Juanes,Me Enamora,sad
1092,Juanita Bynum,Peace,relaxed
1093,Judas Priest,Metal Gods,sad
1094,Judas Priest,Painkiller,angry
1095,Juelz Santana,There It Go ,relaxed
1096,Juelz Santana,There It Go (The Whistle Song),relaxed
1097,Juice Newton,Angel Of The Morning,relaxed
1098,Julianne Hough,Feliz Navidad,happy
1099,Juliette & The Licks,Shelter Your Needs,angry
1100,Julio Iglesias,My Love,happy
1101,Junior Boys,Teach Me How To Fight,angry
1102,Junior Kimbrough,Meet Me in the City,relaxed
1103,Justice,Civilization,angry
1104,Justin Bieber,One Less Lonely Girl,sad
1105,Juvenile,Slow Motion ,sad
1106,K'Naan,Fire In Freetown,angry
1107,K-Paz De La Sierra,Volvere,sad
1108,K.C. & The Sunshine Band,Do You Wanna Go Party,happy
1109,KMFDM,WWIII,angry
1110,KT Tunstall,Paper Aeroplane (Live From 'Drastic Fantastic' Tour),sad
1111,Kaiser Chiefs,I Predict A Riot,angry
1112,Kaiser Chiefs,Oh My God,relaxed
1113,Kajagoogoo,Too Shy,sad
1114,Kane,My Heart's Desire,angry
1115,Kansas,Fight Fire With Fire,angry
1116,Kapena,Masese,sad
1117,Karen O And The Kids,All Is Love,happy
1118,Karrin Allyson,Everything Must Change,relaxed
1119,Karyn White,Love Saw It ,happy
1120,Karyn White,The Way You Love Me,happy
1121,Kaskade,Fire In Your New Shoes ,angry
1122,Kathy Troccoli,Never My Love,happy
1123,Katy Perry,E.T. ,angry
1124,Ke$ha,Your Love Is My Drug,happy
1125,Keane,This Is The Last Time,sad
1126,Keb' Mo',Dangerous Mood,relaxed
1127,Keb' Mo',The Door,sad
1128,Keith Sweat,Nobody ,happy
1129,Kelis,Caught Out There,angry
1130,Kelley Stoltz,Fire Escape,angry
1131,Kem,Into You,relaxed
1132,Kem,Love Never Fails,happy
1133,Kem,When I'm Loving You,relaxed
1134,Kem,You Might Win,happy
1135,Kenna,Better Wise Up,relaxed
1136,Kenny Chesney,Pretty Paper,relaxed
1137,Kenny Chesney,The Angel At The Top Of My Tree,relaxed
1138,Kenny Chesney,When The Sun Goes Down ,relaxed
1139,Kenny G,Joy To The World,happy
1140,Kenny G,What A Wonderful World ,relaxed
1141,Kenny Lattimore,And I Love Her,happy
1142,Kenny Loggins,Celebrate Me Home,relaxed
1143,Kenny Loggins,Danger Zone,angry
1144,Kenny Loggins,Meet Me Half Way,relaxed
1145,Kenny Loggins,Whenever I Call You Friend ,happy
1146,Kenny Rogers,Love Lifted Me,happy
1147,Kenny Rogers & Dolly Parton,Christmas Without You,happy
1148,Kenny Rogers & Dolly Parton,With Bells On,relaxed
1149,Keri Hilson,Make Love,happy
1150,Kid Rock,Collide ,angry
1151,Kid Rock,Feel Like Makin' Love,happy
1152,Killing Joke,The Death And Resurrection Show,angry
1153,Killswitch Engage,This Fire Burns,angry
1154,Killswitch Engage,Unbroken,angry
1155,Kindred The Family Soul,House Of Love,relaxed
1156,King Crimson,Matte Kudasai,sad
1157,Kirk Franklin,Afterwhile ,angry
1158,Kirk Franklin & The Family,Now Behold The Lamb,relaxed
1159,Kirk Franklin & The Family,Silent Night,relaxed
1160,Kirk Whalum,Inside ,relaxed
1161,Kiss,C'mon And Love Me,happy
1162,Kiss,Do You Love Me?,happy
1163,Kiss,King Of The Night Time World,relaxed
1164,Kisses,People Can Do The Most Amazing Things,angry
1165,Knack,Everything I Do,angry
1166,Kool & The Gang,Steppin' Into Love,happy
1167,Kool & The Gang,Victory,happy
1168,Kopek,Love Is Dead,angry
1169,Korn,Blind,sad
1170,Korn,Everything I've Known,angry
1171,Kosheen,Hide U,angry
1172,Kraak & Smaak,Keep Me Home ,relaxed
1173,Kraftwerk,Neon Lights,sad
1174,Kreator,Warcurse,angry
1175,Kris Kristofferson,Killer Barracuda,angry
1176,Kurt Carr & The Kurt Carr Singers,God Great God,happy
1177,Kurt Elling,Matte Kudasai,sad
1178,Kurt Elling,Say It ,happy
1179,Kyle Riabko,What Did I Get Myself Into,relaxed
1180,Kylesa,Dust,sad
1181,Kylie,All The Lovers,angry
1182,L.A. Guns,Kiss My Love Goodbye,happy
1183,L.A. Guns,Never Enough,relaxed
1184,L.A. Guns,Some Lie For Love,angry
1185,LCD Soundsystem,Disco Infiltrator,sad
1186,LCD Soundsystem,Too Much Love,happy
1187,LORE,Release,happy
1188,La Ley,Aqui,sad
1189,La Mafia,Me Estoy Enamorando,sad
1190,La Mafia,Quiero Amanecer Contigo,sad
1191,La Oreja De Van Gogh,Vestido Azul,sad
1192,La Sera,Been Here Before,happy
1193,La Sonora Dinamita,Que Nadie Sepa Mi Sufrir,sad
1194,Lacuna Coil,I Won't Tell You,angry
1195,Lacy J. Dalton,Takin' It Easy,relaxed
1196,Lady Antebellum,Blue Christmas,relaxed
1197,Lady Gaga,LoveGame,happy
1198,Lady Gaga,The Fame,happy
1199,Ladytron,Seventeen,happy
1200,Lair Of The Minotaur,Evil Power,angry
1201,Lamb,Gabriel,relaxed
1202,Lamb Of God,Black Label,angry
1203,Lanae' Hale,Carol Of The Bells,happy
1204,Laura Izibor,From My Heart To Yours,happy
1205,Laura Story,What A Savior,happy
1206,LeAnn Rimes,All I Want For Christmas,relaxed
1207,LeAnn Rimes,God Bless America,relaxed
1208,Led Zeppelin,Bring It On Home,relaxed
1209,Led Zeppelin,Nobody's Fault But Mine,sad
1210,Led Zeppelin,Rock And Roll,sad
1211,Led Zeppelin,Rock And Roll ,sad
1212,Ledisi,Give Love On Christmas Day,happy
1213,Ledisi,Have Yourself A Merry Little Christmas,happy
1214,Ledisi,In The Morning,happy
1215,Ledisi,Love Never Changes,happy
1216,Ledisi,Silent Night,relaxed
1217,Ledisi,What A Wonderful World,relaxed
1218,Lee Andrews & The Hearts,Long Lonely Nights,sad
1219,Lee Ann Womack,I May Hate Myself In The Morning,angry
1220,Lemon Jelly,Space Walk,happy
1221,Lenny Kravitz,Again,happy
1222,Leo Sayer,More Than I Can Say,happy
1223,Lewis  Jerry Lee,Another Place  Another Time,sad
1224,Lhasa,De Cara A La Pared,sad
1225,Lifer,Breathless,sad
1226,Lil Wayne,On Fire,angry
1227,Limp Bizkit,Take A Look Around,angry
1228,Lincoln Brewster,All I Really Want,happy
1229,Linda Ronstadt,Little Girl Blue ,relaxed
1230,Lindsey Buckingham,Go Insane,angry
1231,Lindsey Buckingham,Trouble,angry
1232,Lionel Richie,Deep River Woman,relaxed
1233,Lionel Richie,Penny Lover,happy
1234,Lionel Richie,Truly,happy
1235,Lionel Richie,You Are,happy
1236,Liquits,Desde Que,sad
1237,Lisa Fischer,How Can I Ease The Pain,angry
1238,Lisa Stansfield,Change,happy
1239,Lit,Miserable,angry
1240,Lita Ford,Kiss Me Deadly,happy
1241,Little Richard,Long Tall Sally,happy
1242,Living Colour,Glamour Boys,relaxed
1243,Living Sacrifice,The Training,angry
1244,Lonestar,All My Love For Christmas,happy
1245,Lonestar,Tell Her,happy
1246,Loose Ends,Slow Down,sad
1247,Lord  Mary Lou,Lights Are Changing,sad
1248,Loreena McKennitt,Down By The Sally Gardens,relaxed
1249,Loretta Lynn,Trouble On The Line,angry
1250,Lori McKenna,Pour,relaxed
1251,Los Alegres De Teran,Hermosisimo Lucero,sad
1252,Los Angeles Negros,A Ti,sad
1253,Los Bukis,Contra Viento Y Marea,sad
1254,Los Bukis,Que Mala,sad
1255,Los Cadetes De Linares,El Palomito,sad
1256,Los Cadetes De Linares,Las Tres Tumbas,sad
1257,Los Horoscopos De Durango,Ahora Que No Estas,sad
1258,Los Humildes,Vestido Mojado,sad
1259,Los Iracundos,Y Te Has Quedado Sola,sad
1260,Los Lobos,Come On Let's Go,happy
1261,Los Lonely Boys,Feliz Navidad,happy
